Índice,"Número
colección
planta
madre","Fecha
siembra","Fecha
transplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (mm),Número de hojas,Ángulo 1 (grados),Ángulo 2 (grados),Ángulo 3 (grados),Ángulo 4 (grados),Ángulo 5 (grados),Ángulo 6 (grados),Ángulo 7 (grados),Ángulo 8 (grados),Ángulo 9 (grados),Ángulo 10 (grados),Ángulo 11 (grados),Ángulo 12 (grados),Ángulo 13 (grados),Ángulo 14 (grados),Ángulo 15 (grados),índice2,Nombre_contorno,OBSERVACIONES,ARCHIVO.TIFF
220,1031,4/5/2019,12/7/2019,5A,2,9,6/24/2023,48.2,15,172,125,51,165,61,55,150,131,165,172,75,152,130,70,102,27,27_10-06-2023_1031_05-04-2019_07-12-2019_5A_2_9,"2 HOJAS AMARILLAS,",27_10-06-2023_1031_05-04-2019_07-12-2019_5A_2_9.tiff
94,1015,4/2/2019,9/4/2019,2A,5,4,6/23/2023,48.89,26,133,85,100,40,110,189,75,105,199,50,130,95,57,128,94,36,36_10-06-2023_1015_02-04-2019_04-09-2019_2A_5_4,"OK 1015 en campo REV en libreta 1008, MÁS DE 10 ROSETAS LATERALES",36_10-06-2023_1015_02-04-2019_04-09-2019_2A_5_4.tiff
95,1028,4/5/2019,9/4/2019,2A,5,5,6/25/2023,48.97,13,29,70,91,40,100,190,194,135,135,NA,NA,NA,NA,NA,NA,102,102_24-06-2023_1028_05-04-2019_04-09-2019_2A_5_5,NA,102_24-06-2023_1028_05-04-2019_04-09-2019_2A_5_5.tiff
43,1035,4/5/2019,8/6/2019,1A,5,3,6/26/2023,49.08,12,184,77,135,90,200,125,145,105,125,65,NA,NA,NA,NA,NA,149,149_25-06-2023_1035_05-04-2019_06-08-2019_1A_5_3,4 rosetas laterales,149_25-06-2023_1035_05-04-2019_06-08-2019_1A_5_3.tiff
58,1003,4/5/2019,9/4/2019,2A,1,8,6/25/2023,50.34,14,115,230,90,140,75,157,84,217,225,230,NA,NA,NA,NA,NA,119,119_25-06-2023_1003_05-04-2019_04-09-2019_2A_1_8,3 ROSETAS LATERALES,119_25-06-2023_1003_05-04-2019_04-09-2019_2A_1_8.tiff
69,1015,4/2/2019,9/4/2019,2A,2,9,5/28/2023,50.35,14,128,107,95,226,97,92,80,229,72,85,215,33,NA,NA,NA,71,71_21-06-2023_1015_02-04-2019_04-09-2019_2A_2_9,Muchas hojas secas (>10) / cuatro rosetas adicionales,71_21-06-2023_1015_02-04-2019_04-09-2019_2A_2_9.tiff
107,1009,4/5/2019,11/4/2019,3A,1,7,6/24/2023,50.98,19,123,174,120,135,140,125,165,135,160,120,165,154,100,NA,NA,24,24_10-06-2023_1009_05-04-2019_04-11-2019_3A_1_7,NA,24_10-06-2023_1009_05-04-2019_04-11-2019_3A_1_7.tiff
189,1034,4/5/2019,12/7/2019,4A,4,9,6/24/2023,51.07,12,160,123,136,140,160,145,103,182,76,NA,NA,NA,NA,NA,NA,87,87_21-06-2023_1034_05-04-2019_07-12-2019_4A_4_9,3 ROSETAS LATERALES CASI DELMISMO TAMAÑO QUE LA ROSETA PRINCIPAL,87_21-06-2023_1034_05-04-2019_07-12-2019_4A_4_9.tiff
135,1036,4/5/2019,11/4/2019,3A,4,5,6/23/2023,51.28,16,141,122,145,75,210,88,125,95,105,145,74,87,114,70,NA,7,7_10-06-2023_1036_05-04-2019_04-11-2019_3A_4_5,"rev 1026, ESTABA COMO 1035, PERO EN PLACA 1036",7_10-06-2023_1036_05-04-2019_04-11-2019_3A_4_5.tiff
78,1036,4/5/2019,9/4/2019,2A,3,8,6/25/2023,51.5,12,175,45,215,60,240,245,182,215,140,NA,NA,NA,NA,NA,NA,107,107_25-06-2023_1036_05-04-2019_04-09-2019_2A_3_8,NA,107_25-06-2023_1036_05-04-2019_04-09-2019_2A_3_8.tiff
124,1032,4/5/2019,11/4/2019,3A,3,4,6/23/2023,51.81,13,130,190,141,120,55,176,99,80,155,100,212,NA,NA,NA,NA,48,48_10-06-2023_1032_05-04-2019_04-11-2019_3A_3_4,"3 ROSETAS LATERALES, NECROMASA PERSISTENTE",48_10-06-2023_1032_05-04-2019_04-11-2019_3A_3_4.tiff
103,1017,4/5/2019,11/4/2019,3A,1,3,6/25/2023,51.9,8,175,212,188,225,255,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,114_25-06-2023_1017_05-04-2019_04-11-2019_3A_1_3,NA,114_25-06-2023_1017_05-04-2019_04-11-2019_3A_1_3.tiff
76,1033,4/5/2019,9/4/2019,2A,3,6,6/27/2023,52.33,6,165,125,165,125,160,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,162_26-06-2023_1033_05-04-2019_04-09-2019_2A_3_6,1 hoja amarilla,162_26-06-2023_1033_05-04-2019_04-09-2019_2A_3_6.tiff
4,1017,4/5/2019,8/6/2019,1A,1,4,6/22/2023,52.5,18,151,154,234,192,85,227,240,135,148,125,129,108,122,NA,NA,81,81_21-06-2023_1017_05-04-2019_06-08-2019_1A_1_4,NA,81_21-06-2023_1017_05-04-2019_06-08-2019_1A_1_4.tiff
176,1009,4/5/2019,12/7/2019,4A,3,6,5/28/2023,52.58,6,140,172,142,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,72_21-06-2023_1009_05-04-2019_07-12-2019_4A_3_6,Dos hojas amarillentas,72_21-06-2023_1009_05-04-2019_07-12-2019_4A_3_6.tiff
210,1020,4/5/2019,12/7/2019,5A,1,9,6/22/2023,52.58,12,73,180,161,147,115,160,130,140,93,79,50,NA,NA,NA,NA,79,79_21-06-2023_1020_05-04-2019_07-12-2019_5A_1_9,NA,79_21-06-2023_1020_05-04-2019_07-12-2019_5A_1_9.tiff
79,1014,4/5/2019,9/4/2019,2A,3,9,5/27/2023,52.9,17,55,147,112,77,94,56,142,112,61,68,163,71,44,178,54,67,67_21-06-2023_1014_05-04-2019_04-09-2019_2A_3_9,ángulo 1 de hoja amarillenta / ángulo 2 a hoja seca / angulo 3 hoja seca - hoja rota,67_21-06-2023_1014_05-04-2019_04-09-2019_2A_3_9.tiff
67,1008,4/5/2019,9/4/2019,2A,2,7,5/28/2023,52.99,16,119,129,175,122,173,142,102,165,NA,NA,NA,NA,NA,NA,NA,65,65_21-06-2023_1008_05-04-2019_04-09-2019_2A_2_7,NA,65_21-06-2023_1008_05-04-2019_04-09-2019_2A_2_7.tiff
177,1008,4/5/2019,12/7/2019,4A,3,7,6/26/2023,53.47,17,172,87,153,86,150,155,80,63,NA,NA,NA,NA,NA,NA,NA,131,131_25-06-2023_1008_05-04-2019_07-12-2019_4A_3_7,1 HOJA AMARILLA,131_25-06-2023_1008_05-04-2019_07-12-2019_4A_3_7.tiff
187,1035,4/5/2019,12/7/2019,4A,4,7,6/26/2023,53.5,25,215,205,87,211,215,88,160,145,85,214,210,222,220,216,190,133,133_25-06-2023_1035_05-04-2019_07-12-2019_4A_4_7,1 HOJA AMARILLA,133_25-06-2023_1035_05-04-2019_07-12-2019_4A_4_7.tiff
182,1008,4/5/2019,12/7/2019,4A,4,2,6/27/2023,53.61,7,195,75,155,255,164,80,90,55,NA,NA,NA,NA,NA,NA,NA,179,179_26-06-2023_1008_05-04-2019_07-12-2019_4A_4_2,NA,179_26-06-2023_1008_05-04-2019_07-12-2019_4A_4_2.tiff
118,1017,4/5/2019,11/4/2019,3A,2,8,6/22/2023,53.73,6,222,228,185,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17_10-06-2023_1017_05-04-2019_04-11-2019_3A_2_8,NA,17_10-06-2023_1017_05-04-2019_04-11-2019_3A_2_8.tiff
23,1003,4/5/2019,8/6/2019,1A,3,3,6/26/2023,53.89,15,245,240,172,105,145,174,154,174,127,157,257,110,50,NA,NA,145,145_25-06-2023_1003_05-04-2019_06-08-2019_1A_3_3,3 ROSETAS Lalterales,145_25-06-2023_1003_05-04-2019_06-08-2019_1A_3_3.tiff
159,1020,4/5/2019,12/7/2019,4A,1,9,5/28/2023,54.08,13,164,105,194,67,225,67,144,104,69,118,NA,NA,NA,NA,NA,63,63_21-06-2023_1020_05-04-2019_07-12-2019_4A_1_9,Dos hojas amarillentas / dos rosetas amarillentas,63_21-06-2023_1020_05-04-2019_07-12-2019_4A_1_9.tiff
113,1014,4/5/2019,11/4/2019,3A,2,3,6/27/2023,54.14,16,177,150,104,145,120,180,115,144,162,120,144,280,110,NA,NA,140,140_25-06-2023_1014_05-04-2019_04-11-2019_3A_2_3,NA,140_25-06-2023_1014_05-04-2019_04-11-2019_3A_2_3.tiff
196,1034,4/5/2019,12/7/2019,4A,5,6,6/24/2023,54.4,11,165,114,40,130,177,134,164,107,60,45,NA,NA,NA,NA,NA,26,26_10-06-2023_1034_05-04-2019_07-12-2019_4A_5_6,1 ROSETA LATERAL,26_10-06-2023_1034_05-04-2019_07-12-2019_4A_5_6.tiff
199,1008,4/5/2019,12/7/2019,4A,5,9,6/26/2023,54.47,10,115,200,120,150,100,310,130,70,NA,NA,NA,NA,NA,NA,NA,NA,SIN CONTORNO,NA,SIN CONTORNO
15,1018,4/5/2019,8/6/2019,1A,2,5,5/27/2023,54.74,9,215,218,272,274,205,256,270,NA,NA,NA,NA,NA,NA,NA,NA,59,59_10-06-2023_1018_05-04-2019_06-08-2019_1A_2_5,NA,59_10-06-2023_1018_05-04-2019_06-08-2019_1A_2_5.tiff
25,1009,4/5/2019,8/6/2019,1A,3,5,6/27/2023,54.8,13,190,80,240,255,252,116,278,175,73,84,NA,NA,NA,NA,NA,142,142_25-06-2023_1009_05-04-2019_06-08-2019_1A_3_5,2 HOJAS AMARILLAS,142_25-06-2023_1009_05-04-2019_06-08-2019_1A_3_5.tiff
68,1035,4/5/2019,9/4/2019,2A,2,8,6/27/2023,54.9,19,210,215,205,110,155,80,199,224,234,175,245,190,220,265,264,126,126_26-06-2023_1035_05-04-2019_04-09-2019_2A_2_8,3 HOJAS AMARILLAS,126_26-06-2023_1035_05-04-2019_04-09-2019_2A_2_8.tiff
12,1007,4/5/2019,8/6/2019,1A,2,2,6/27/2023,55.33,13,85,70,155,119,185,200,253,125,NA,NA,NA,NA,NA,NA,NA,172,172_26-06-2023_1007_05-04-2019_06-08-2019_1A_2_2,NA,172_26-06-2023_1007_05-04-2019_06-08-2019_1A_2_2.tiff
186,1002,4/2/2019,12/7/2019,4A,4,6,6/24/2023,55.85,19,180,210,210,243,225,190,144,275,168,240,190,200,135,NA,NA,88,88_21-06-2023_1002_02-04-2019_07-12-2019_4A_4_6,2 HOJAS AMARILLAS,88_21-06-2023_1002_02-04-2019_07-12-2019_4A_4_6.tiff
172,1020,4/5/2019,12/7/2019,4A,3,2,6/26/2023,56.27,14,255,170,115,282,155,170,108,175,130,65,NA,NA,NA,NA,NA,147,147_25-06-2023_1020_05-04-2019_07-12-2019_4A_3_2,NA,147_25-06-2023_1020_05-04-2019_07-12-2019_4A_3_2.tiff
203,1009,4/5/2019,12/7/2019,5A,1,2,6/25/2023,56.47,14,218,208,245,193,200,90,190,75,225,155,230,NA,NA,NA,NA,92,92_21-06-2023_1009_05-04-2019_07-12-2019_5A_1_2,NA,92_21-06-2023_1009_05-04-2019_07-12-2019_5A_1_2.tiff
227,1009,4/5/2019,12/7/2019,5A,3,6,6/23/2023,56.52,20,155,91,96,120,155,70,125,70,110,155,67,87,173,65,102,43,43_10-06-2023_1009_05-04-2019_07-12-2019_5A_3_6,1 HOJA AMARILLA,43_10-06-2023_1009_05-04-2019_07-12-2019_5A_3_6.tiff
244,1007,4/5/2019,12/7/2019,5A,5,3,6/26/2023,56.95,17,95,270,180,260,210,145,139,270,210,265,190,245,140,NA,NA,160,160_26-06-2023_1007_05-04-2019_07-12-2019_5A_5_3,NA,160_26-06-2023_1007_05-04-2019_07-12-2019_5A_5_3.tiff
91,1008,4/5/2019,9/4/2019,2A,5,1,6/24/2023,57.66,9,105,140,200,82,122,107,175,NA,NA,NA,NA,NA,NA,NA,NA,3,3_10-06-2023_1008_05-04-2019_04-09-2019_2A_5_1,TODAS LAS HOJAS INCLUÍDAS MUY MARCHITAS Y AMARILLAS,3_10-06-2023_1008_05-04-2019_04-09-2019_2A_5_1.tiff
66,1028,4/2/2019,9/4/2019,2A,2,6,6/22/2023,57.73,17,152,103,85,170,85,109,140,94,105,124,80,86,120,40,55,80,80_21-06-2023_1028_02-04-2019_04-09-2019_2A_2_6,rev en libreta 1028,80_21-06-2023_1028_02-04-2019_04-09-2019_2A_2_6.tiff
145,1012,4/5/2019,11/4/2019,3A,5,5,6/25/2023,57.81,16,150,180,160,117,135,152,200,98,150,140,SH,SH,110,130,85,111,111_25-06-2023_1012_05-04-2019_04-11-2019_3A_5_5,"rev 1012, EN MARCA MET{ALICA, 1012 EN ESTA HOJA 1017, 1 ROSETA LATERAL",111_25-06-2023_1012_05-04-2019_04-11-2019_3A_5_5.tiff
216,1009,4/5/2019,12/7/2019,5A,2,5,6/22/2023,57.83,18,95,93,57,94,53,92,112,46,84,92,67,156,85,101,68,13,13_10-06-2023_1009_05-04-2019_07-12-2019_5A_2_5,"2 HOJAS AMARILLAS,",13_10-06-2023_1009_05-04-2019_07-12-2019_5A_2_5.tiff
53,1011,4/5/2019,9/4/2019,2A,1,3,6/23/2023,57.91,15,140,115,77,160,75,110,135,89,199,84,99,NA,NA,NA,NA,44,44_10-06-2023_1011_05-04-2019_04-09-2019_2A_1_3,1 ROSERA LATERAL ,44_10-06-2023_1011_05-04-2019_04-09-2019_2A_1_3.tiff
30,1027,4/5/2019,8/6/2019,1A,3,10,6/23/2023,58.04,18,149,162,135,175,122,160,167,95,185,112,145,110,140,70,NA,41,41_10-06-2023_1027_05-04-2019_06-08-2019_1A_3_10,NA,41_10-06-2023_1027_05-04-2019_06-08-2019_1A_3_10.tiff
200,1040,4/5/2019,12/7/2019,4A,5,10,6/22/2023,58.05,12,167,270,160,90,230,49,220,53,160,120,NA,NA,NA,NA,NA,23,23_10-06-2023_1040_05-04-2019_07-12-2019_4A_5_10,NA,23_10-06-2023_1040_05-04-2019_07-12-2019_4A_5_10.tiff
29,1024,4/2/2019,8/6/2019,1A,3,9,6/23/2023,58.14,21,165,173,141,180,115,152,132,155,140,162,174,135,160,170,100,37,37_10-06-2023_1024_02-04-2019_06-08-2019_1A_3_9,1 HOJA AMARILLA,37_10-06-2023_1024_02-04-2019_06-08-2019_1A_3_9.tiff
194,1002,4/2/2019,12/7/2019,4A,5,4,6/23/2023,58.39,13,132,240,139,145,112,180,150,125,150,106,65,NA,NA,NA,NA,49,49_10-06-2023_1002_02-04-2019_07-12-2019_4A_5_4,2 HOJAS AMARILLAS,49_10-06-2023_1002_02-04-2019_07-12-2019_4A_5_4.tiff
112,1015,4/2/2019,11/4/2019,3A,2,2,6/27/2023,58.4,15,180,235,160,184,105,150,237,160,145,156,145,163,105,60,100,153,153_26-06-2023_1015_02-04-2019_04-11-2019_3A_2_2,1 ROSETA LATERAL,153_26-06-2023_1015_02-04-2019_04-11-2019_3A_2_2.tiff
85,1008,4/5/2019,9/4/2019,2A,4,5,6/24/2023,58.5,11,229,75,165,85,220,195,67,100,NA,NA,NA,NA,NA,NA,NA,100,100_23-06-2023_1008_05-04-2019_04-09-2019_2A_4_5,NA,100_23-06-2023_1008_05-04-2019_04-09-2019_2A_4_5.tiff
243,1008,4/5/2019,12/7/2019,5A,5,2,6/24/2023,58.83,14,155,NA,NA,168,114,165,95,215,93,130,68,NA,NA,NA,NA,29,29_10-06-2023_1008_05-04-2019_07-12-2019_5A_5_2,NA,29_10-06-2023_1008_05-04-2019_07-12-2019_5A_5_2.tiff
27,1009,4/5/2019,8/6/2019,1A,3,7,6/25/2023,58.84,14,198,104,144,232,210,115,105,155,110,150,82,NA,NA,NA,NA,110,110_25-06-2023_1009_05-04-2019_06-08-2019_1A_3_7,NA,110_25-06-2023_1009_05-04-2019_06-08-2019_1A_3_7.tiff
105,1009,4/5/2019,11/4/2019,3A,1,5,6/23/2023,58.88,10,40,210,64,95,185,76,87,147,71,57,125,104,60,95,NA,56,56_10-06-2023_1009_05-04-2019_04-11-2019_3A_1_5,"6 hojas depredadas, no incluídas en el total, 2 amarillas",56_10-06-2023_1009_05-04-2019_04-11-2019_3A_1_5.tiff
188,1009,4/5/2019,12/7/2019,4A,4,8,6/25/2023,58.91,20,140,63,245,215,220,197,233,86,135,78,148,155,63,NA,NA,105,105_24-06-2023_1009_05-04-2019_07-12-2019_4A_4_8,NA,105_24-06-2023_1009_05-04-2019_07-12-2019_4A_4_8.tiff
245,1009,4/5/2019,12/7/2019,5A,5,4,6/23/2023,59.25,18,180,72,160,85,195,85,120,140,158,97,160,35,243,232,57,46,46_10-06-2023_1009_05-04-2019_07-12-2019_5A_5_4,1 HOJA AMARILLA,46_10-06-2023_1009_05-04-2019_07-12-2019_5A_5_4.tiff
90,1017,4/5/2019,9/4/2019,2A,4,10,6/24/2023,59.29,23,123,161,109,174,125,175,136,130,180,109,152,145,147,172,110,55,55_10-06-2023_1017_05-04-2019_04-09-2019_2A_4_10,1 HOJA AMARILLA,55_10-06-2023_1017_05-04-2019_04-09-2019_2A_4_10.tiff
11,1036,4/5/2019,8/6/2019,1A,2,1,6/23/2023,59.81,11,180,70,182,95,125,119,70,105,52,65,NA,NA,NA,NA,NA,42,42_10-06-2023_1036_05-04-2019_06-08-2019_1A_2_1,NA,42_10-06-2023_1036_05-04-2019_06-08-2019_1A_2_1.tiff
132,1008,4/5/2019,11/4/2019,3A,4,2,6/27/2023,59.87,24,134,170,142,162,105,182,110,190,125,124,140,207,220,110,214,156,156_26-06-2023_1008_05-04-2019_04-11-2019_3A_4_2,1 HOJA AMARILLA,156_26-06-2023_1008_05-04-2019_04-11-2019_3A_4_2.tiff
173,1032,4/5/2019,12/7/2019,4A,3,3,6/23/2023,60.37,NA,163,83,89,140,100,222,77,120,135,70,96,209,80,100,180,47,47_10-06-2023_1032_05-04-2019_07-12-2019_4A_3_3,ERROR EN EL NÚMERO DE HOJAS,47_10-06-2023_1032_05-04-2019_07-12-2019_4A_3_3.tiff
96,1018,4/5/2019,9/4/2019,2A,5,6,6/22/2023,60.41,11,97,130,105,70,110,110,155,82,95,124,75,130,172,95,80,34,34_10-06-2023_1018_05-04-2019_04-09-2019_2A_5_6,"Rosetas laterales, necromasa en el tallo",34_10-06-2023_1018_05-04-2019_04-09-2019_2A_5_6.tiff
110,1036,4/5/2019,11/4/2019,3A,1,10,6/24/2023,60.49,16,150,100,208,80,170,95,76,145,96,135,217,68,NA,NA,NA,86,86_21-06-2023_1036_05-04-2019_04-11-2019_3A_1_10,NA,86_21-06-2023_1036_05-04-2019_04-11-2019_3A_1_10.tiff
24,1008,4/5/2019,8/6/2019,1A,3,4,6/22/2023,60.6,16,104,125,77,240,70,180,67,101,142,80,NA,NA,NA,NA,NA,18,18_10-06-2023_1008_05-04-2019_06-08-2019_1A_3_4,1 roseta lateral,18_10-06-2023_1008_05-04-2019_06-08-2019_1A_3_4.tiff
83,1009,4/5/2019,9/4/2019,2A,4,3,6/24/2023,60.6,22,183,150,174,164,200,65,152,215,245,180,245,224,178,182,NA,104,104_24-06-2023_1009_05-04-2019_04-09-2019_2A_4_3,NA,104_24-06-2023_1009_05-04-2019_04-09-2019_2A_4_3.tiff
16,1013,4/5/2019,8/6/2019,1A,2,6,6/24/2023,60.64,15,155,122,160,170,129,150,86,120,89,100,46,NA,NA,NA,NA,9,9_10-06-2023_1013_05-04-2019_06-08-2019_1A_2_6,NA,9_10-06-2023_1013_05-04-2019_06-08-2019_1A_2_6.tiff
47,1017,4/5/2019,8/6/2019,1A,5,7,6/26/2023,60.81,15,205,35,225,84,255,60,238,175,195,240,157,NA,NA,NA,NA,137,137_25-06-2023_1017_05-04-2019_06-08-2019_1A_5_7,NA,137_25-06-2023_1017_05-04-2019_06-08-2019_1A_5_7.tiff
163,1002,4/2/2019,12/7/2019,4A,2,3,6/24/2023,61.19,33,197,120,108,145,113,135,123,73,189,72,217,200,99,165,152,98,98_21-06-2023_1002_02-04-2019_07-12-2019_4A_2_3,1 ROSETA LATERAL,98_21-06-2023_1002_02-04-2019_07-12-2019_4A_2_3.tiff
249,1032,4/5/2019,12/7/2019,5A,5,8,6/27/2023,61.21,24,184,224,235,135,142,150,240,225,162,155,140,140,157,265,195,139,139_25-06-2023_1032_05-04-2019_07-12-2019_5A_5_8,"4 ROSETAS LATERALES, 3 HOJAS AMARILLAS",139_25-06-2023_1032_05-04-2019_07-12-2019_5A_5_8.tiff
88,1009,4/5/2019,9/4/2019,2A,4,8,6/25/2023,61.28,18,155,135,136,155,170,148,190,97,165,185,40,152,165,255,160,118,118_25-06-2023_1009_05-04-2019_04-09-2019_2A_4_8,1 HOJA AMARILLA,118_25-06-2023_1009_05-04-2019_04-09-2019_2A_4_8.tiff
198,1009,4/5/2019,12/7/2019,4A,5,8,5/28/2023,61.37,36,116,127,102,145,101,173,62,73,101,89,156,81,134,104,98,57,57_10-06-2023_1009_05-04-2019_07-12-2019_4A_5_8,"La hoja 2 está seca , dos hojas amarillas, dos rosetas adicionales",57_10-06-2023_1009_05-04-2019_07-12-2019_4A_5_8.tiff
57,1018,4/5/2019,9/4/2019,2A,1,7,6/24/2023,61.46,15,172,62,204,86,190,50,219,202,76,170,30,65,NA,NA,NA,25,25_10-06-2023_1018_05-04-2019_04-09-2019_2A_1_7,1 HOJA AMARILLA,25_10-06-2023_1018_05-04-2019_04-09-2019_2A_1_7.tiff
222,1009,4/5/2019,12/7/2019,5A,3,1,5/28/2023,61.58,20,105,120,112,131,85,108,166,133,102,146,43,145,54,80,132,68,68_21-06-2023_1009_05-04-2019_07-12-2019_5A_3_1,Dos hojas amarillentas / hojas secas (>10),68_21-06-2023_1009_05-04-2019_07-12-2019_5A_3_1.tiff
197,1008,4/5/2019,12/7/2019,4A,5,7,6/25/2023,62.09,16,180,135,226,130,180,188,91,165,78,230,205,175,164,NA,NA,117,117_25-06-2023_1008_05-04-2019_07-12-2019_4A_5_7,1 HOJA AMARILLA,117_25-06-2023_1008_05-04-2019_07-12-2019_4A_5_7.tiff
117,1008,4/5/2019,11/4/2019,3A,2,7,6/23/2023,62.16,8,174,250,235,194,SH,SH,SH,SH,233,83,NA,NA,NA,NA,NA,51,51_10-06-2023_1008_05-04-2019_04-11-2019_3A_2_7,"PLANTA DEPREDADA, 4 HOJAS DEPREDADAS NO INCLUIDAS, 1 ROSETA LATERAL",51_10-06-2023_1008_05-04-2019_04-11-2019_3A_2_7.tiff
223,1020,4/5/2019,12/7/2019,5A,3,2,6/25/2023,62.42,14,190,176,260,178,96,133,96,200,240,180,209,85,NA,NA,NA,129,129_25-06-2023_1020_05-04-2019_07-12-2019_5A_3_2,NA,129_25-06-2023_1020_05-04-2019_07-12-2019_5A_3_2.tiff
6,1007,4/5/2019,8/6/2019,1A,1,6,6/27/2023,62.7,16,80,67,105,55,175,124,225,260,118,80,265,NA,NA,NA,NA,170,170_26-06-2023_1007_05-04-2019_06-08-2019_1A_1_6,NA,170_26-06-2023_1007_05-04-2019_06-08-2019_1A_1_6.tiff
3,1007,4/5/2019,8/6/2019,1A,1,3,6/22/2023,62.76,29,138,132,86,105,114,67,135,96,71,119,75,99,137,69,157,31,31_10-06-2023_1007_05-04-2019_06-08-2019_1A_1_3,NA,31_10-06-2023_1007_05-04-2019_06-08-2019_1A_1_3.tiff
17,1014,4/5/2019,8/6/2019,1A,2,7,5/28/2023,62.78,29,152,154,131,173,148,124,151,138,153,161,125,144,151,133,147,70,70_21-06-2023_1014_05-04-2019_06-08-2019_1A_2_7,"Tiene cuatro rosetas adicionales, dos hojas amarillentas",70_21-06-2023_1014_05-04-2019_06-08-2019_1A_2_7.tiff
126,1027,4/5/2019,11/4/2019,3A,3,6,6/27/2023,63.04,19,170,194,168,155,140,165,85,165,222,211,113,145,153,270,125,127,127_26-06-2023_1027_05-04-2019_04-11-2019_3A_3_6,1 HOJA AMARILLA,127_26-06-2023_1027_05-04-2019_04-11-2019_3A_3_6.tiff
225,1018,4/5/2019,12/7/2019,5A,3,4,6/22/2023,63.4,23,148,172,105,152,170,70,100,126,94,198,235,204,197,80,163,30,30_10-06-2023_1018_05-04-2019_07-12-2019_5A_3_4,NA,30_10-06-2023_1018_05-04-2019_07-12-2019_5A_3_4.tiff
36,1036,4/5/2019,8/6/2019,1A,4,6,6/27/2023,63.71,23,164,130,143,153,150,140,165,127,152,175,144,152,147,160,175,125,125_26-06-2023_1036_05-04-2019_06-08-2019_1A_4_6,"2 ROSEAS LATERALES, 2 HOJAS AMARILLAS",125_26-06-2023_1036_05-04-2019_06-08-2019_1A_4_6.tiff
141,1020,4/5/2019,11/4/2019,3A,5,1,6/25/2023,63.78,20,122,100,175,123,150,140,127,130,172,145,124,140,151,112,112,116,116_25-06-2023_1020_05-04-2019_04-11-2019_3A_5_1,3 HOJAS AMARILLAS,116_25-06-2023_1020_05-04-2019_04-11-2019_3A_5_1.tiff
164,1002,4/2/2019,12/7/2019,4A,2,4,6/24/2023,64.14,23,215,105,177,109,150,55,205,235,75,162,74,105,221,232,235,53,53_10-06-2023_1002_02-04-2019_07-12-2019_4A_2_4,NA,53_10-06-2023_1002_02-04-2019_07-12-2019_4A_2_4.tiff
158,1012,4/5/2019,12/7/2019,4A,1,8,6/24/2023,64.16,18,114,103,95,165,45,135,140,80,107,172,61,242,178,56,117,14,14_10-06-2023_1012_05-04-2019_07-12-2019_4A_1_8,NA,14_10-06-2023_1012_05-04-2019_07-12-2019_4A_1_8.tiff
179,1033,4/5/2019,12/7/2019,4A,3,9,6/27/2023,64.29,18,242,155,215,210,265,180,230,209,180,230,159,230,137,74,NA,151,151_26-06-2023_1033_05-04-2019_07-12-2019_4A_3_9,NA,151_26-06-2023_1033_05-04-2019_07-12-2019_4A_3_9.tiff
5,1032,4/5/2019,8/6/2019,1A,1,5,6/23/2023,65.02,24,145,140,165,136,73,98,126,220,95,114,90,145,72,210,94,28,28_10-06-2023_1032_05-04-2019_06-08-2019_1A_1_5,NA,28_10-06-2023_1032_05-04-2019_06-08-2019_1A_1_5.tiff
202,1020,4/5/2019,12/7/2019,5A,1,1,6/26/2023,65.82,23,100,94,128,195,115,120,116,185,85,235,263,160,172,105,170,130,130_25-06-2023_1020_05-04-2019_07-12-2019_5A_1_1,"2 HOJAS AMARILLAS,",130_25-06-2023_1020_05-04-2019_07-12-2019_5A_1_1.tiff
114,1018,4/5/2019,11/4/2019,3A,2,4,6/22/2023,66.16,18,195,104,155,77,225,225,85,143,95,202,175,67,115,88,110,124,124_21-06-2023_1018_05-04-2019_04-11-2019_3A_2_4,NA,124_21-06-2023_1018_05-04-2019_04-11-2019_3A_2_4.tiff
133,1010,4/5/2019,11/4/2019,3A,4,3,6/27/2023,66.36,22,180,190,184,154,92,180,152,110,173,205,270,260,170,115,155,154,154_26-06-2023_1010_05-04-2019_04-11-2019_3A_4_3,NA,154_26-06-2023_1010_05-04-2019_04-11-2019_3A_4_3.tiff
183,1032,4/5/2019,12/7/2019,4A,4,3,6/27/2023,67.1,33,193,205,97,122,245,168,175,136,162,120,166,152,155,160,142,152,152_26-06-2023_1032_05-04-2019_07-12-2019_4A_4_3,2 ROSETAS LATERALES,152_26-06-2023_1032_05-04-2019_07-12-2019_4A_4_3.tiff
7,1015,4/2/2019,8/6/2019,1A,1,7,6/22/2023,67.15,28,157,85,55,135,148,67,234,191,42,175,87,178,216,59,146,45,45_10-06-2023_1015_02-04-2019_06-08-2019_1A_1_7,"Varias hojas dentro de marchantia, 3 hojas amarillas",45_10-06-2023_1015_02-04-2019_06-08-2019_1A_1_7.tiff
